R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
150,Kevin Porter Jr.,PG,LAC,65,26.2,0.442(4.9/11.1),0.785(2.6/3.3),1.8,14.2,3.9,4.3,1,0.2,2.4,-0.81
151,Bruce Brown,"SG,SF",TOR,72,28.5,0.481(4.4/9.2),0.790(1.6/2.1),1,11.5,4.3,3.2,1,0.5,1.5,-0.81
152,Kelly Oubre Jr.,"SG,SF",PHI,65,30,0.435(6.1/14.1),0.760(2.6/3.4),1.8,16.6,5,1.3,1.2,0.6,1.3,-0.82
153,Nick Richards,C,CHA,67,25.2,0.656(3.8/5.8),0.743(2.3/3.0),0,9.8,8,0.8,0.3,1.1,1.1,-0.84
154,Noah Clowney,"SF,PF,C",BKN,67,24.2,0.552(3.7/6.6),0.728(1.6/2.1),0.9,9.7,5.8,1.3,0.6,1.1,1.1,-0.86
155,Mitchell Robinson,C,NY,48,26,0.640(2.9/4.5),0.459(1.0/2.1),0,6.8,9.1,0.8,1,1.6,0.7,-0.88
156,Donovan Clingan,C,POR,67,22.8,0.639(4.1/6.4),0.608(1.8/2.9),0.3,10.2,5.6,1.2,0.4,1.9,0.6,-0.89
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
157,Aaron Gordon,"PF,C",DEN,72,31,0.560(6.0/10.6),0.632(2.7/4.2),0.7,15.3,6.6,3.3,0.8,0.7,1.5,-0.91
158,Tari Eason,"SF,PF",HOU,67,22.4,0.457(3.9/8.5),0.732(1.3/1.8),0.8,9.8,7.1,1.2,1.3,0.7,1.2,-0.91
159,Tre Jones,PG,SA,74,24.4,0.479(3.9/8.0),0.861(1.5/1.7),0.7,9.8,3.2,5.5,1,0.1,1.4,-0.93
